title,author_name,rating,ratings,year
The Prize,Julie Garwood,4.22,29102,1991
Born in Fire,Nora Roberts,4.22,71920,1994
The Witness,Nora Roberts,4.22,75491,2012
The Winner's Kiss,Marie Rutkoski,4.22,46572,2016
Mystery Man,Kristen Ashley,4.21,70047,2011
Beauty and the Mustache,Penny Reid,4.21,27550,2014
Dance of Thieves,Mary E. Pearson,4.21,70427,2018
The Score,Elle Kennedy,4.21,195637,2016
Safe Haven,Nicholas Sparks,4.21,363661,2010
Never Love a Highlander,Maya Banks,4.21,25853,2011
The Obsession,Nora Roberts,4.21,71821,2016
Before We Were Strangers,Renee Carlino,4.21,55835,2015
Forever Too Far,Abbi Glines,4.21,84454,2013
Life's Too Short,Abby Jimenez,4.21,53005,2021
Reason to Breathe,Rebecca    Donovan,4.21,90348,2011
Down London Road,Samantha Young,4.21,52006,2013
Finale,Stephanie Garber,4.21,96804,2019
A Kingdom of Dreams,Judith McNaught,4.21,50780,1989
White Hot Kiss,Jennifer L. Armentrout,4.2,71136,2014
A Knight in Shining Armor,Jude Deveraux,4.2,35480,1989
Once Burned,Jeaniene Frost,4.2,66290,2012
Love in the Afternoon,Lisa Kleypas,4.2,44436,2010
Dance Upon the Air,Nora Roberts,4.2,68172,2001
Delilah Green Doesn't Care,Ashley Herring Blake,4.2,26876,2022
Simon vs. the Homo Sapiens Agenda,Becky Albertalli,4.2,389450,2015
The Iron Queen,Julie Kagawa,4.2,104266,2011
I Wish You All the Best,Mason Deaver,4.2,35376,2019
Archangel's Kiss,Nalini Singh,4.2,55634,2010
The Opportunist,Tarryn Fisher,4.2,51392,2011
Carry On,Rainbow Rowell,4.2,280623,2015
Five Feet Apart,Rachael Lippincott,4.2,173328,2018
Collide,Gail McHugh,4.2,64734,2013
Own the Wind,Kristen Ashley,4.2,47464,2013
Beard in Mind,Penny Reid,4.2,22558,2017
Gentle Rogue,Johanna Lindsey,4.2,21517,1990
The Bird and the Sword,Amy Harmon,4.2,36320,2016
By a Thread,Lucy Score,4.19,52857,2020
A Court of Thorns and Roses,Sarah J. Maas,4.19,1141409,2015
Night Pleasures,Sherrilyn Kenyon,4.19,77021,2002
Smaragdgrün,Kerstin Gier,4.19,88106,2010
Wild Man,Kristen Ashley,4.19,42456,2011
Kiss an Angel,Susan Elizabeth Phillips,4.19,58552,1996
The Book of Life,Deborah Harkness,4.19,171986,2014
Chesapeake Blue,Nora Roberts,4.19,33157,2002
Frederica,Georgette Heyer,4.19,20606,1965
Under the Whispering Door,T.J. Klune,4.19,102049,2021
Tears of the Moon,Nora Roberts,4.19,33160,2000
Scandalous,L.J. Shen,4.18,45822,2017
Ruckus,L.J. Shen,4.18,49537,2017
Once and Always,Judith McNaught,4.18,25997,1987
Autoboyography,Christina Lauren,4.18,47602,2017
Happy Ever After,Nora Roberts,4.18,57059,2010
Unravel Me,Tahereh Mafi,4.18,310275,2013
Rules of Attraction,Simone Elkeles,4.18,86658,2010
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.18,698006,2008
Dreaming of You,Lisa Kleypas,4.18,40674,1994
On Dublin Street,Samantha Young,4.18,189455,2012
The Happy Ever After Playlist,Abby Jimenez,4.17,68882,2020
The One,Kiera Cass,4.17,574496,2014
King,T.M. Frazier,4.17,43994,2015
Restore Me,Tahereh Mafi,4.17,116386,2018
The Perfect Hope,Nora Roberts,4.17,43739,2012
Key of Light,Nora Roberts,4.17,59041,2003
Shelter Mountain,Robyn Carr,4.17,37378,2007
The Coincidence of Callie & Kayden,Jessica Sorensen,4.17,114624,2012
